timestamp,syscall,args,result,latency
1765134154.5525885,mprotect,"0x70a436ab6000, 8192, PROT_READ",0,0.000952
1765134154.5542364,prlimit64,"0, RLIMIT_STACK, NULL, {rlim_cur=8192*1024, rlim_m",0,0.000709
1765134154.5558012,munmap,"0x70a436a6c000, 63616",0,0.000638
1765134154.5577853,getrandom,"""\x65\xed\xb1\x30\x9f\x24\x7a\x2b"", 8, GRND_NONBLO",8,0.000998
1765134154.5599916,brk,NULL,0x6339ffa95000,0.000937
1765134154.5621507,brk,0x6339ffab6000,0x6339ffab6000,0.000842
1765134154.564822,openat,"AT_FDCWD, ""/usr/lib/locale/locale-archive"", O_RDON",3,0.001258
1765134154.5673687,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=5712208, ...",0,0.001463
1765134154.5674062,mmap,"NULL, 5712208, PROT_READ, MAP_PRIVATE, 3, 0",0x70a436000000,3e-05
1765134154.5674202,close,3,0,9e-06
1765134154.5674338,openat,"AT_FDCWD, ""/usr/lib/x86_64-linux-gnu/gconv/gconv-m",3,2.8e-05
1765134154.5674431,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=27002, ...},",0,9e-06
1765134154.5677407,mmap,"NULL, 27002, PROT_READ, MAP_SHARED, 3, 0",0x70a436a75000,1.8e-05
1765134154.5677803,close,3,0,8e-06
1765134154.5678034,futex,"0x70a43681ba6c, FUTEX_WAKE_PRIVATE, 2147483647",0,9e-06
1765134154.5679848,getcwd,"""/home/vboxuser/Desktop/Project"", 4096",31,1e-05
1765134154.5680068,getrandom,"""\x80\x32\x31\xc7\x06\x41\x58\x77\x69\xe6\x9f\xba\",24,8e-06
1765134154.5681252,mmap,"NULL, 1048576, PROT_READ|PROT_WRITE, MAP_PRIVATE|M",0x70a436836000,1.4e-05
1765134154.56814,mmap,"NULL, 266240, PROT_READ|PROT_WRITE, MAP_PRIVATE|MA",0x70a4365bf000,1e-05
1765134154.5681489,mmap,"NULL, 135168, PROT_READ|PROT_WRITE, MAP_PRIVATE|MA",0x70a43659e000,7e-06
1765134154.5689533,brk,0x6339ffad7000,0x6339ffad7000,0.000428
1765134154.571763,brk,0x6339ffaf9000,0x6339ffaf9000,2.1e-05
1765134154.5739527,newfstatat,"AT_FDCWD, ""/home/vboxuser/.local/bin/python3"", 0x7",-1,2.9e-05
1765134154.5739863,newfstatat,"AT_FDCWD, ""/home/vboxuser/.local/bin/python3"", 0x7",-1,1.5e-05
1765134154.573996,newfstatat,"AT_FDCWD, ""/usr/local/sbin/python3"", 0x7ffff5bab79",-1,1.2e-05
1765134154.5740137,newfstatat,"AT_FDCWD, ""/usr/local/bin/python3"", 0x7ffff5bab790",-1,0.000223
1765134154.5740223,newfstatat,"AT_FDCWD, ""/usr/sbin/python3"", 0x7ffff5bab790, 0",-1,1.3e-05
1765134154.574045,newfstatat,"AT_FDCWD, ""/usr/bin/python3"", {st_mode=S_IFREG|075",0,1.5e-05
1765134154.5741942,readlink,"""/usr/bin/python3"", ""python3.10"", 4096",10,1.2e-05
1765134154.5742106,readlink,"""/usr/bin/python3.10"", 0x7ffff5ba65a0, 4096",-1,9e-06
1765134154.574225,openat,"AT_FDCWD, ""/usr/bin/pyvenv.cfg"", O_RDONLY",-1,1.6e-05
1765134154.5743506,openat,"AT_FDCWD, ""/usr/pyvenv.cfg"", O_RDONLY",-1,1.1e-05
1765134154.5743654,newfstatat,"AT_FDCWD, ""/usr/bin/Modules/Setup.local"", 0x7ffff5",-1,1e-05
1765134154.5743756,newfstatat,"AT_FDCWD, ""/usr/bin/lib/python3.10/os.py"", 0x7ffff",-1,1e-05
1765134154.5745173,newfstatat,"AT_FDCWD, ""/usr/bin/lib/python3.10/os.pyc"", 0x7fff",-1,1e-05
1765134154.5745282,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/os.py"", {st_mode=S_",0,1.2e-05
1765134154.574665,openat,"AT_FDCWD, ""/usr/bin/pybuilddir.txt"", O_RDONLY",-1,0.000169
1765134154.5748208,newfstatat,"AT_FDCWD, ""/usr/bin/lib/python3.10/lib-dynload"", 0",-1,8e-06
1765134154.574844,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/lib-dynload"", {st_m",0,1.2e-05
1765134154.576103,mmap,"NULL, 1048576, PROT_READ|PROT_WRITE, MAP_PRIVATE|M",0x70a435f00000,3.5e-05
1765134154.5774772,sysinfo,"{uptime=18534, loads=[56896, 57888, 78560], totalr",0,2.3e-05
1765134154.5778856,openat,"AT_FDCWD, ""/etc/localtime"", O_RDONLY|O_CLOEXEC",3,3e-05
1765134154.5779102,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=285, ...}, A",0,7e-06
1765134154.5779252,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=285, ...}, A",0,6e-06
1765134154.5779326,brk,0x6339ffb1a000,0x6339ffb1a000,1e-05
1765134154.5779393,read,"3, ""TZif2\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\",285,8e-06
1765134154.5779495,lseek,"3, -169, SEEK_CUR",116,6e-06
1765134154.5779579,read,"3, ""TZif2\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\",169,6e-06
1765134154.5780728,close,3,0,1.2e-05
1765134154.578088,brk,0x6339ffb19000,0x6339ffb19000,2.1e-05
1765134154.5784903,newfstatat,"AT_FDCWD, ""/usr/lib/python310.zip"", 0x7ffff5ba9e40",-1,1.9e-05
1765134154.5785131,newfstatat,"AT_FDCWD, ""/usr/lib"", {st_mode=S_IFDIR|0755, st_si",0,8e-06
1765134154.578638,newfstatat,"AT_FDCWD, ""/usr/lib/python310.zip"", 0x7ffff5ba9bb0",-1,1e-05
1765134154.5887225,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10"", {st_mode=S_IFDIR|",0,4.1e-05
1765134154.5887754,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10"", {st_mode=S_IFDIR|",0,1.2e-05
1765134154.5889907,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10"", {st_mode=S_IFDIR|",0,0.000421
1765134154.5913272,openat,"AT_FDCWD, ""/usr/lib/python3.10"", O_RDONLY|O_NONBLO",3,0.000208
1765134154.5913498,newfstatat,"3, """", {st_mode=S_IFDIR|0755, st_size=20480, ...},",0,8e-06
1765134154.5913606,getdents64,"3, 0x6339ffafa3d0 /* 207 entries */, 32768",6920,0.001814
1765134154.591375,getdents64,"3, 0x6339ffafa3d0 /* 0 entries */, 32768",0,8e-06
1765134154.5913856,close,3,0,1e-05
1765134154.5917463,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__init__.",-1,2.7e-05
1765134154.5919228,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__init__.",-1,1.3e-05
1765134154.591943,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__init__.",-1,1.1e-05
1765134154.591952,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__init__.",0,1e-05
1765134154.5924282,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__init__.",0,1.7e-05
1765134154.5924587,openat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__pycache",3,1.8e-05
1765134154.592632,fcntl,"3, F_GETFD",0x1,8e-06
1765134154.592656,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=3875, ...}, ",0,1.1e-05
1765134154.592681,ioctl,"3, TCGETS, 0x7ffff5baa2c0",-1,1.4e-05
1765134154.5926898,lseek,"3, 0, SEEK_CUR",0,1.1e-05
1765134154.592697,lseek,"3, 0, SEEK_CUR",0,1.1e-05
1765134154.5927036,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=3875, ...}, ",0,1.1e-05
1765134154.5927155,read,"3, ""o\r\r\n\0\0\0\0\341\275\ti\364\25\0\0\343\0\0\",3875,1.4e-05
1765134154.5927262,read,"3, """", 1",0,1e-05
1765134154.592878,close,3,0,1.4e-05
1765134154.5930145,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10"", {st_mode=S_IFDIR|",0,1.5e-05
1765134154.5930376,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/codecs.py"", {st_mod",0,9e-06
1765134154.5935225,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/codecs.py"", {st_mod",0,2.1e-05
1765134154.5935478,openat,"AT_FDCWD, ""/usr/lib/python3.10/__pycache__/codecs.",3,2.1e-05
1765134154.5935626,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=33219, ...},",0,1.1e-05
1765134154.5936952,ioctl,"3, TCGETS, 0x7ffff5ba9440",-1,1.3e-05
1765134154.593719,lseek,"3, 0, SEEK_CUR",0,1.3e-05
1765134154.5937297,lseek,"3, 0, SEEK_CUR",0,8e-06
1765134154.5937407,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=33219, ...},",0,2.2e-05
1765134154.59398,read,"3, ""o\r\r\n\0\0\0\0\341\275\tij\217\0\0\343\0\0\0\",33219,4.1e-05
1765134154.5939968,read,"3, """", 1",0,8e-06
1765134154.5940065,close,3,0,1.1e-05
1765134154.5952559,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings"", {st_mod",0,2e-05
1765134154.5952842,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings"", {st_mod",0,1e-05
1765134154.5953012,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings"", {st_mod",0,9e-06
1765134154.595332,openat,"AT_FDCWD, ""/usr/lib/python3.10/encodings"", O_RDONL",3,1.5e-05
1765134154.5953422,newfstatat,"3, """", {st_mode=S_IFDIR|0755, st_size=20480, ...},",0,9e-06
1765134154.595577,getdents64,"3, 0x6339ffb08b90 /* 125 entries */, 32768",4224,7.4e-05
1765134154.5963314,getdents64,"3, 0x6339ffb08b90 /* 0 entries */, 32768",0,2e-05
1765134154.59637,close,3,0,1.4e-05
1765134154.5963783,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/aliases.p",0,1.9e-05
1765134154.5963926,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/aliases.p",0,1.4e-05
1765134154.5969276,openat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__pycache",3,2.1e-05
1765134154.5969603,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=10921, ...},",0,4.3e-05
1765134154.596975,ioctl,"3, TCGETS, 0x7ffff5ba8d70",-1,0.000303
1765134154.5969875,lseek,"3, 0, SEEK_CUR",0,7e-06
1765134154.596998,lseek,"3, 0, SEEK_CUR",0,6e-06
1765134154.5970507,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=10921, ...},",0,7e-06
1765134154.5970623,read,"3, ""o\r\r\n\0\0\0\0\341\275\ti==\0\0\343\0\0\0\0\0",10921,1.4e-05
1765134154.5970728,read,"3, """", 1",0,6e-06
1765134154.5970836,close,3,0,8e-06
1765134154.5994046,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings"", {st_mod",0,1e-05
1765134154.5994318,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/utf_8.py""",0,8e-06
1765134154.5994418,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/utf_8.py""",0,7e-06
1765134154.5994515,openat,"AT_FDCWD, ""/usr/lib/python3.10/encodings/__pycache",3,1.1e-05
1765134154.599464,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=1597, ...}, ",0,6e-06
1765134154.5994766,ioctl,"3, TCGETS, 0x7ffff5baa2f0",-1,6e-06
1765134154.5994887,lseek,"3, 0, SEEK_CUR",0,6e-06
1765134154.5994992,lseek,"3, 0, SEEK_CUR",0,5e-06
1765134154.5995078,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=1597, ...}, ",0,6e-06
1765134154.5995185,read,"3, ""o\r\r\n\0\0\0\0\341\275\ti\355\3\0\0\343\0\0\0",1597,7e-06
1765134154.5995293,read,"3, """", 1",0,5e-06
1765134154.59971,close,3,0,7e-06
1765134154.5997267,rt_sigaction,"SIGPIPE, {sa_handler=SIG_IGN, sa_mask=[], sa_flags",0,2e-05
1765134154.5997396,rt_sigaction,"SIGXFSZ, {sa_handler=SIG_IGN, sa_mask=[], sa_flags",0,5e-06
1765134154.5997648,rt_sigaction,"SIGHUP, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,7e-06
1765134154.5997741,rt_sigaction,"SIGINT, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,6e-06
1765134154.5997834,rt_sigaction,"SIGQUIT, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,6e-06
1765134154.599802,rt_sigaction,"SIGILL, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,5e-06
1765134154.5998127,rt_sigaction,"SIGTRAP, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,5e-06
1765134154.5998223,rt_sigaction,"SIGABRT, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,6e-06
1765134154.5998318,rt_sigaction,"SIGBUS, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,4e-06
1765134154.5998423,rt_sigaction,"SIGFPE, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,6e-06
1765134154.599852,rt_sigaction,"SIGKILL, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,4e-06
1765134154.59986,rt_sigaction,"SIGUSR1, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,6e-06
1765134154.599869,rt_sigaction,"SIGSEGV, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,6e-06
1765134154.5998774,rt_sigaction,"SIGUSR2, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,8e-06
1765134154.599887,rt_sigaction,"SIGPIPE, NULL, {sa_handler=SIG_IGN, sa_mask=[], sa",0,6e-06
1765134154.599897,rt_sigaction,"SIGALRM, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,8e-06
1765134154.5999062,rt_sigaction,"SIGTERM, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,8e-06
1765134154.5999165,rt_sigaction,"SIGSTKFLT, NULL, {sa_handler=SIG_DFL, sa_mask=[], ",0,8e-06
1765134154.6000075,rt_sigaction,"SIGCHLD, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,8e-06
1765134154.60002,rt_sigaction,"SIGCONT, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,9e-06
1765134154.6000297,rt_sigaction,"SIGSTOP, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,6e-06
1765134154.6000502,rt_sigaction,"SIGTSTP, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,9e-06
1765134154.6001086,rt_sigaction,"SIGTTIN, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,6e-06
1765134154.6007187,rt_sigaction,"SIGTTOU, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,1e-05
1765134154.6007478,rt_sigaction,"SIGURG, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,8e-06
1765134154.600761,rt_sigaction,"SIGXCPU, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,6e-06
1765134154.6007724,rt_sigaction,"SIGXFSZ, NULL, {sa_handler=SIG_IGN, sa_mask=[], sa",0,6e-06
1765134154.6007836,rt_sigaction,"SIGVTALRM, NULL, {sa_handler=SIG_DFL, sa_mask=[], ",0,7e-06
1765134154.6007943,rt_sigaction,"SIGPROF, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,7e-06
1765134154.6008053,rt_sigaction,"SIGWINCH, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,7e-06
1765134154.6008208,rt_sigaction,"SIGIO, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_f",0,1.6e-05
1765134154.6008327,rt_sigaction,"SIGPWR, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,9e-06
1765134154.6008432,rt_sigaction,"SIGSYS, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa_",0,8e-06
1765134154.6008546,rt_sigaction,"SIGRT_2, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,8e-06
1765134154.6008656,rt_sigaction,"SIGRT_3, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,1.1e-05
1765134154.6008859,rt_sigaction,"SIGRT_4, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,8e-06
1765134154.6008966,rt_sigaction,"SIGRT_5, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,9e-06
1765134154.6009078,rt_sigaction,"SIGRT_6, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,1e-05
1765134154.600919,rt_sigaction,"SIGRT_7, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,7e-06
1765134154.6009305,rt_sigaction,"SIGRT_8, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,1.9e-05
1765134154.6009433,rt_sigaction,"SIGRT_9, NULL, {sa_handler=SIG_DFL, sa_mask=[], sa",0,1e-05
1765134154.6009552,rt_sigaction,"SIGRT_10, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,1e-05
1765134154.60097,rt_sigaction,"SIGRT_11, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,9e-06
1765134154.6009812,rt_sigaction,"SIGRT_12, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,9e-06
1765134154.6009927,rt_sigaction,"SIGRT_13, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,7e-06
1765134154.6011786,rt_sigaction,"SIGRT_14, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,1.3e-05
1765134154.6012042,rt_sigaction,"SIGRT_15, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,9e-06
1765134154.6012213,rt_sigaction,"SIGRT_16, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6012309,rt_sigaction,"SIGRT_17, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,7e-06
1765134154.6012464,rt_sigaction,"SIGRT_18, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6012602,rt_sigaction,"SIGRT_19, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6012719,rt_sigaction,"SIGRT_20, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6012955,rt_sigaction,"SIGRT_21, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6013064,rt_sigaction,"SIGRT_22, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6013267,rt_sigaction,"SIGRT_23, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6013386,rt_sigaction,"SIGRT_24, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,5e-06
1765134154.6013494,rt_sigaction,"SIGRT_25, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,6e-06
1765134154.601362,rt_sigaction,"SIGRT_26, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,6e-06
1765134154.6013749,rt_sigaction,"SIGRT_27, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,4e-06
1765134154.6013963,rt_sigaction,"SIGRT_28, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,6e-06
1765134154.6014092,rt_sigaction,"SIGRT_29, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,4e-06
1765134154.6014187,rt_sigaction,"SIGRT_30, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,6e-06
1765134154.6014268,rt_sigaction,"SIGRT_31, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,6e-06
1765134154.6014404,rt_sigaction,"SIGRT_32, NULL, {sa_handler=SIG_DFL, sa_mask=[], s",0,6e-06
1765134154.6014507,rt_sigaction,"SIGINT, {sa_handler=0x6339c3315c10, sa_mask=[], sa",0,6e-06
1765134154.6018987,newfstatat,"0, """", {st_mode=S_IFCHR|0620, st_rdev=makedev(0x88",0,8e-06
1765134154.6020286,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10"", {st_mode=S_IFDIR|",0,1.5e-05
